"GeneID" "Cluster" "Name"
"1" "HRA1" "insignificant" NA
"2" "ICR1" "insignificant" NA
"3" "LSR1" "insignificant" NA
"4" "PWR1" "insignificant" NA
"5" "RDN5-1" "insignificant" NA
"6" "RNA170" "insignificant" NA
"7" "RPR1" "insignificant" NA
"8" "RUF20" "insignificant" NA
"9" "RUF21" "insignificant" NA
"10" "RUF22" "insignificant" NA
"11" "RUF23" "insignificant" NA
"12" "RUF5-2" "insignificant" NA
"13" "SCR1" "insignificant" NA
"14" "SRG1" "insignificant" NA
"15" "YAL001C" "cluster1" "TFC3"
"16" "YAL002W" "cluster1" "VPS8"
"17" "YAL003W" "insignificant" "EFB1"
"18" "YAL004W" "insignificant" ""
"19" "YAL005C" "cluster2" "SSA1"
"20" "YAL007C" "cluster3" "ERP2"
"21" "YAL008W" "insignificant" "FUN14"
"22" "YAL009W" "insignificant" "SPO7"
"23" "YAL010C" "insignificant" "MDM10"
"24" "YAL011W" "insignificant" "SWC3"
"25" "YAL012W" "insignificant" "CYS3"
"26" "YAL013W" "insignificant" "DEP1"
"27" "YAL014C" "insignificant" "SYN8"
"28" "YAL015C" "cluster1" "NTG1"
"29" "YAL016C-A" "insignificant" ""
"30" "YAL016W" "cluster1" "TPD3"
"31" "YAL017W" "cluster2" "PSK1"
"32" "YAL018C" "insignificant" "LDS1"
"33" "YAL019W" "cluster3" "FUN30"
"34" "YAL019W-A" "insignificant" ""
"35" "YAL020C" "cluster1" "ATS1"
"36" "YAL021C" "insignificant" "CCR4"
"37" "YAL022C" "insignificant" "FUN26"
"38" "YAL023C" "cluster3" "PMT2"
"39" "YAL024C" "cluster3" "LTE1"
"40" "YAL025C" "insignificant" "MAK16"
"41" "YAL026C" "cluster1" "DRS2"
"42" "YAL026C-A" "insignificant" ""
"43" "YAL027W" "insignificant" "SAW1"
"44" "YAL028W" "cluster2" "FRT2"
"45" "YAL029C" "cluster3" "MYO4"
"46" "YAL030W" "insignificant" "SNC1"
"47" "YAL031C" "insignificant" "GIP4"
"48" "YAL031W-A" "insignificant" ""
"49" "YAL032C" "cluster1" "PRP45"
"50" "YAL033W" "cluster3" "POP5"
"51" "YAL034C" "insignificant" "FUN19"
"52" "YAL034C-B" "insignificant" ""
"53" "YAL034W-A" "cluster3" "MTW1"
"54" "YAL035W" "insignificant" "FUN12"
"55" "YAL036C" "insignificant" "RBG1"
"56" "YAL037C-A" "insignificant" ""
"57" "YAL037C-B" "insignificant" ""
"58" "YAL037W" "insignificant" ""
"59" "YAL038W" "insignificant" "CDC19"
"60" "YAL039C" "cluster1" "CYC3"
"61" "YAL040C" "cluster1" "CLN3"
"62" "YAL041W" "cluster3" "CDC24"
"63" "YAL042C-A" "insignificant" ""
"64" "YAL042W" "cluster3" "ERV46"
"65" "YAL043C" "insignificant" "PTA1"
"66" "YAL044C" "cluster2" "GCV3"
"67" "YAL044W-A" "insignificant" "BOL1"
"68" "YAL045C" "insignificant" ""
"69" "YAL046C" "insignificant" "BOL3"
"70" "YAL047C" "cluster3" "SPC72"
"71" "YAL047W-A" "insignificant" ""
"72" "YAL048C" "insignificant" "GEM1"
"73" "YAL049C" "cluster1" "AIM2"
"74" "YAL051W" "cluster1" "OAF1"
"75" "YAL053W" "insignificant" "FLC2"
"76" "YAL054C" "cluster2" "ACS1"
"77" "YAL055W" "cluster1" "PEX22"
"78" "YAL056C-A" "insignificant" ""
"79" "YAL056W" "cluster1" "GPB2"
"80" "YAL058W" "insignificant" "CNE1"
"81" "YAL059C-A" "insignificant" ""
"82" "YAL059W" "insignificant" "ECM1"
"83" "YAL060W" "cluster2" "BDH1"
"84" "YAL061W" "insignificant" "BDH2"
"85" "YAL062W" "insignificant" "GDH3"
"86" "YAL063C" "insignificant" "FLO9"
"87" "YAL063C-A" "insignificant" ""
"88" "YAL064C-A" "insignificant" "TDA8"
"89" "YAL064W" "insignificant" ""
"90" "YAL064W-B" "insignificant" ""
"91" "YAL065C" "insignificant" ""
"92" "YAL066W" "insignificant" ""
"93" "YAL067C" "insignificant" "SEO1"
"94" "YAL067W-A" "insignificant" ""
"95" "YAL068C" "insignificant" "PAU8"
"96" "YAL069W" "insignificant" ""
"97" "YAR002C-A" "cluster3" "ERP1"
"98" "YAR002W" "cluster3" "NUP60"
"99" "YAR003W" "cluster3" "SWD1"
"100" "YAR007C" "cluster3" "RFA1"
"101" "YAR008W" "cluster3" "SEN34"
"102" "YAR009C" "cluster4" NA
"103" "YAR010C" "insignificant" NA
"104" "YAR014C" "cluster3" "BUD14"
"105" "YAR015W" "cluster5" "ADE1"
"106" "YAR018C" "cluster3" "KIN3"
"107" "YAR019C" "cluster1" "CDC15"
"108" "YAR019W-A" "insignificant" ""
"109" "YAR020C" "insignificant" "PAU7"
"110" "YAR023C" "insignificant" ""
"111" "YAR027W" "cluster1" "UIP3"
"112" "YAR028W" "insignificant" ""
"113" "YAR029W" "insignificant" ""
"114" "YAR030C" "insignificant" ""
"115" "YAR031W" "insignificant" "PRM9"
"116" "YAR033W" "insignificant" "MST28"
"117" "YAR035C-A" "insignificant" ""
"118" "YAR035W" "cluster6" "YAT1"
"119" "YAR042W" "insignificant" "SWH1"
"120" "YAR050W" "insignificant" "FLO1"
"121" "YAR053W" "insignificant" ""
"122" "YAR061W" "insignificant" NA
"123" "YAR064W" "insignificant" ""
"124" "YAR066W" "insignificant" ""
